timestamp,rssi,snr,ber,disponibilite,condition,etat
1757246807.240222,-57.29049269007474,20.60847818503845,6.511024743716017e-06,99.93774844235939,normal_urbain,OK
1757246808.240227,-63.91516802965849,23.696367312190116,9.397961258862312e-07,100.0,normal_urbain,OK
1757246809.2402294,-67.31072005074228,24.507773083124,1.7780751280070445e-05,99.8318757245669,normal_urbain,OK
1757246810.2402313,-62.66349763202061,23.928089965170205,2.3867007012936334e-05,99.91978256692619,normal_urbain,OK
1757246811.2402334,-64.65515443050188,25.439121232510093,1.2918957596443222e-05,99.93148986845469,normal_urbain,OK
1757246812.2402365,-61.1230344557502,22.48346171013143,1.0584737743875947e-06,99.92433977641056,normal_urbain,OK
1757246813.2402387,-63.76324204835576,24.835995423499405,1.2264088288581595e-05,99.86660048993849,normal_urbain,OK
1757246814.2402406,-67.77634026976706,27.05845990909794,1.2681397714591364e-05,99.88245842235243,normal_urbain,OK
1757246815.2402427,-65.66990010151447,25.285863896502427,1.074947916859285e-05,99.89220126295118,normal_urbain,OK
1757246816.2402456,-60.33577965746913,27.33228508326194,8.23001347935226e-06,99.89251016985577,normal_urbain,OK
1757246817.2402475,-64.7132423915723,24.19771596878954,1.4432880833001937e-05,99.9604491100601,normal_urbain,OK
1757246818.2402496,-60.84221534471166,23.610045488999784,1.0680676408417785e-05,99.83809531956766,normal_urbain,OK
1757246819.2402515,-62.08833414151549,21.631652025310913,1.7253227758057032e-05,99.87538781663018,normal_urbain,OK
1757246820.2402534,-65.54396624732,27.762537128153838,8.898496393403136e-06,99.8888143634194,normal_urbain,OK
1757246821.2402556,-63.88221290178233,23.97253182706162,8.992632058361344e-06,99.95916198078824,normal_urbain,OK
1757246822.2402577,-65.74088567448482,23.083375806826684,7.721069100307413e-06,99.8133212392454,normal_urbain,OK
1757246823.2402596,-64.62144166763919,26.092125747714164,9.25601439514011e-06,99.84600687142797,normal_urbain,OK
1757246824.2402627,-66.39454807879468,25.31449272692059,6.873503857959265e-06,99.91849391215453,normal_urbain,OK
1757246825.2402642,-59.806731612900094,27.566934099965845,9.734294254598025e-06,99.89446431230232,normal_urbain,OK
1757246826.240266,-62.227551357459696,26.46301225417192,2.4463918483203733e-06,99.89577725386457,normal_urbain,OK
1757246827.240268,-62.51246537666775,26.595584588591755,9.957298801343807e-06,99.89335455986756,normal_urbain,OK
1757246828.2402701,-64.16215747537007,25.47929704931331,7.340615257103654e-06,99.88245657481026,normal_urbain,OK
1757246829.2402718,-61.82137751975107,26.472418353384445,1.5187764106389698e-06,99.94397163795188,normal_urbain,OK
1757246830.2402737,-63.99241801997683,24.20107236452497,4.613790181843539e-06,99.89461255255931,normal_urbain,OK
1757246831.2402756,-69.00092011627373,25.73177532921825,1.2573664384844628e-05,99.91825933848614,normal_urbain,OK
1757246832.2402782,-67.84779891685167,27.05954912864585,1.3646242998574294e-05,99.8599484283729,normal_urbain,OK
1757246833.24028,-61.31168270484065,26.531363897560503,1.8149100994669105e-06,99.90843978732711,normal_urbain,OK
1757246834.2402813,-68.3212761094407,24.721715589749227,1.8443949795992777e-05,99.91161110661157,normal_urbain,OK
1757246835.240282,-65.49016505133164,23.231894816197084,4.878122917496725e-06,99.84804863450897,normal_urbain,OK
1757246836.2402828,-65.39942569029544,31.588259686214194,9.782013690201923e-06,99.93312125932304,normal_urbain,OK
1757246837.2402837,-63.43523824510493,26.271384212933555,6.862186441845693e-06,99.89565722439004,normal_urbain,OK
1757246838.2402844,-67.0370090947296,24.23858076579218,8.142658455850565e-06,99.8599857676674,normal_urbain,OK
1757246839.2402852,-64.9542998075086,24.393873806663947,9.604231209698075e-06,99.89345934910577,normal_urbain,OK
1757246840.240287,-67.42425348548498,26.376285747206108,6.555948062255483e-06,99.94628171345019,normal_urbain,OK
1757246841.2402878,-64.97788138719751,25.02588520661533,4.984165096344306e-06,99.94738824782085,normal_urbain,OK
1757246842.2402885,-68.32699224176493,25.980942702211486,1.3539835173595665e-05,99.88018376113416,normal_urbain,OK
1757246843.2402892,-62.80202936516237,26.808175622475666,6.375493195765763e-06,99.87517177959575,normal_urbain,OK
1757246844.2402902,-64.93060021551648,22.673591049849435,2.905978270835803e-06,99.88946383152788,normal_urbain,OK
1757246845.2402909,-64.59689841123586,26.38188847419793,9.814119281426656e-06,99.81784252714024,normal_urbain,OK
1757246846.2402916,-68.03198992958885,25.78971916782453,1.3348114736222024e-05,99.88619781773066,normal_urbain,OK
1757246847.2402923,-61.606004512258224,24.921152368696546,1.1514302808027175e-05,99.77085581504699,normal_urbain,OK
1757246848.2402947,-68.51122214755354,25.707779401482412,9.118668965777423e-06,99.94377050283961,normal_urbain,OK
1757246849.2402954,-67.90720134626132,25.793776264000616,2.19765486545834e-06,99.82962241008578,normal_urbain,OK
1757246850.2402964,-64.28335126690594,23.747689808688506,1.114634540238812e-05,99.84009325249846,normal_urbain,OK
1757246851.2402973,-68.33804213660406,26.160080524075926,1.21275795019331e-05,99.98764914420734,normal_urbain,OK
1757246852.240298,-64.27825434752616,25.764790044979534,2.3780004708686992e-05,99.9010122217975,normal_urbain,OK
1757246853.240299,-66.76191038402715,25.04429779875143,1.8049454842406817e-05,99.83786507246579,normal_urbain,OK
1757246854.2403,-67.97300474655225,24.19721121838621,1.596240632033406e-05,99.78796795370205,normal_urbain,OK
1757246855.2403011,-60.449146958840025,23.4548579080721,1.0160386481584235e-05,99.93069081689356,normal_urbain,OK
1757246856.240302,-63.72990948058395,27.496780971910788,1.551046231614782e-05,99.92809083407691,normal_urbain,OK
1757246857.2403028,-64.31519257835583,24.748765243184952,1.636218034632663e-05,99.84787927444864,normal_urbain,OK
1757246858.2403035,-65.08886945277112,22.499084934031476,7.9808953767109e-06,99.90005295171463,normal_urbain,OK
1757246859.2403047,-60.01684769186179,26.836902856416245,9.404364021552529e-06,99.84518611342429,normal_urbain,OK
1757246860.2403066,-65.45734504025313,24.307379852132783,9.64950119329484e-06,99.87227837964787,normal_urbain,OK
1757246861.2403076,-69.71877632012526,24.867860154430296,0.0,99.98187917441683,normal_urbain,OK
1757246862.2403085,-70.38240671362274,24.515414464123783,9.524575894765627e-06,99.8325591933671,normal_urbain,DEGRADE
1757246863.2403095,-71.63962289034819,26.122909684600355,8.323413518179898e-06,99.86203508951219,normal_urbain,DEGRADE
1757246864.2403102,-70.61542492068075,27.4815653364401,1.4386047461859767e-05,99.97570544552745,normal_urbain,DEGRADE
1757246865.2403111,-63.761785223806676,22.16330193338963,1.0930201257111969e-05,99.88591790212921,normal_urbain,OK
1757246866.2403119,-60.1778784927434,26.546272048282074,7.839719487941446e-06,99.92581094783868,normal_urbain,OK
1757246867.2403128,-57.54286465454483,24.552394550755373,1.3427075621657474e-05,99.8167785605696,normal_urbain,OK
